region,selectedRegion,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Puducherry,,11007788.560000001,11081742.98,11744911.939999999,12068984.59,12667654.57,13437495.130000001,14259596.609999999,14547994.48,15193942.48,16340422.26,16268474.390000001,16462944.65,16476937.609999999,17187280.149999999,17964616.379999999,18763424.920000002,19619534.550000001,20199556.690000001,19693091.059999999,20250538.93,20843490.109999999,20897653.18,20892257.23,18624562.539999999,16653985.08,14796681.92,12863925.550000001,13966100.02,14870941.24,15657033.310000001
Himachal Pradesh,,9725529.4910000004,9808367.7100000009,10343861.1,11438586.720000001,12886149.1,14656220.890000001,16680133.34,18328005.879999999,20567724.649999999,23710476.84,24879750.719999999,26499761.140000001,27939301.079999998,30614964.789999999,33623128.880000003,36915935.93,40589630.960000001,43617308.909999996,44486875.740000002,47724911.039999999,51236406.369999997,53625135.130000003,55955003.600000001,60136110.170000002,65420453.880000003,71545901.280000001,77703481.719999999,84405687.879999995,89909052.379999995,94690620.810000002
Jammu and Kashmir,,8382191.0259999996,8451816.9989999998,8918445.2280000001,11191630.710000001,13904989.18,17079538.539999999,20656936.170000002,23821631.550000001,27772041.559999999,32969299.920000002,34452460.009999998,36524926.880000003,38326433.539999999,41751572.270000003,45566841.310000002,49698106.780000001,54260549.899999999,62483643.289999999,68108857.620000005,77728256.790000007,88509378.230000004,98038851,108008627,106647960.5,106268471.8,106093923.40000001,104821848.8,113632658.09999999,120862245.90000001,127141056.59999999
Tripura,,4142927.75,4179842.79,4403274.1679999996,4716143.1550000003,5136977.5020000003,5640432.1720000003,6190097.8470000001,6565307.3020000001,7097227.1900000004,7860098.5180000002,8093783.6069999998,8450402.1669999994,8739264,9364747.9920000006,10053881.220000001,10788451.470000001,11589513.449999999,12372143.73,12593346.949999999,13431629.75,14340358.390000001,14959800.689999999,15566004.289999999,15642469.630000001,15895967.279999999,16229730.869999999,16464647.4,17757662.07,18816960.41,19736181.109999999
Dadra and Nagar Haveli,,4020550.6860000002,4050128.6069999998,4284956.2149999999,4397586.0880000005,4605367.0810000002,4871929.7520000003,5155845.6179999998,5255289.4859999996,5477674.8420000002,5871284.2010000004,5846700.1909999996,5913399.3600000003,5918216.3499999996,6161331.6059999997,6426809.9409999996,6699039.9720000001,6990182.5980000002,7187430.1160000004,7015645.5920000002,7205020.7630000003,7406053.7539999997,7424208.6579999998,7422049.0769999996,5824234.0489999996,4425379.551,3146219.534,1940320.4779999999,2097499.5010000002,2226345.6770000001,2338193.6370000001
Goa,Goa,3242630.1570000001,3267769.9470000002,3453453.1260000002,3761210.548,4173522.6499999999,4672942.8650000002,5230144.9539999999,5637583.6979999999,6207121.8289999999,7021433.1459999997,7530377.6550000003,8199067.3130000001,8830390.8399999999,9895031.1040000003,11111218.57,12469898.960000001,14012318.550000001,18970560.260000002,23541470.07,30101369.550000001,37869746.149999999,45764373.060000002,54541926.810000002,45060211.729999997,36623347.020000003,28670960.84,20802011.260000002,22633550.710000001,24138412.27,25446391.68
Manipur,,2969332.7080000001,2995719.3679999998,3156059.5660000001,3353037.6170000001,3626476.0499999998,3957659.6949999998,4320736.9380000001,4561276.5769999996,4912239.074,5425079.3689999999,5554637.6799999997,5767876.6639999999,5932487.8890000004,6325814.6140000001,6758833.5880000005,7218714.9119999995,7719394.7209999999,9450633.7320000008,11007649.57,13448129.33,16444425.619999999,19609735.140000001,23303912.539999999,19510153.210000001,16508313.550000001,14012378.039999999,11792164.52,12733422.91,13504801.630000001,14174289.09
Meghalaya,,2954630.926,2980742.9920000001,3140706.9750000001,3194379.4309999999,3305938.9879999999,3450003,3599363.2719999999,3631946.4219999998,3735376.7239999999,3934051.5419999999,4418434.6380000003,5018752.608,5636168.4100000001,6545380.2230000002,7605775.9539999999,8823648.9269999992,10237701.77,11948710.640000001,13281085.1,15493252.32,18101856.420000002,20644230.809999999,23479871.600000001,21138139.5,19257963.890000001,17628676.879999999,16027784.84,17312811.870000001,18366026.18,19280153.75
Nagaland,,2789343.2170000002,2812378.4309999999,2968046.4440000001,3036663.0490000001,3157410.9909999999,3305110.8730000001,3452389.923,3478074.9180000001,3568552.4730000002,3746482.9959999998,3893363.1529999999,4102521.0460000001,4281923.3119999999,4632864.9819999998,5023394.6830000002,5445517.392,5911270.4069999997,7624844.3399999999,9338339.4230000004,11991590.859999999,15399406.220000001,19257527.149999999,23977198.780000001,19141903.989999998,15392940.050000001,12363350.880000001,9790031.9499999993,10589244.25,11244542.65,11813436.18
Andaman and Nicobar Islands,,2106129.4789999998,2120380.4610000001,2246983.0180000002,2308764.7609999999,2422888.3820000002,2569616.0630000001,2726279.3960000002,2781229.2829999998,2904291.1740000001,3122674.4339999999,3108974.1549999998,3146014.9580000001,3148675.3640000001,3283949.909,3431956.767,3584027.9679999999,3746991.5550000002,3857392.3420000002,3761008.3650000002,3867108.9070000001,3979951.9040000001,3990249.1570000001,3989208.5610000002,3950507.5920000002,3961524.8999999999,3993539.2999999998,3997573.665,4340679.9730000002,4622376.1330000004,4867105.0559999999
Arunachal Pradesh,,1584484.824,1598145.132,1684918.936,1772306.2,1896796.754,2046775.9879999999,2207447.2960000001,2299609.0180000002,2442508.6239999998,2658463.5490000001,2856781.0329999998,3112836.1409999998,3358769.142,3758453.9010000001,4214667.2580000004,4724839.8420000002,5303983.8109999998,6014773.5690000001,6486788.6809999999,7345957.8159999996,8327327.5640000002,9208896.6319999993,10153242.23,9286624.4940000009,8573148.375,7929837.2920000004,7260739.9720000001,7854728.1399999997,8341787.0829999996,8764627.4710000008
Sikkim,Sikkim,1523893.6699999999,1535670.135,1623046.9890000001,1664480.615,1740853.79,1838700.483,1942760.2150000001,1979174.166,2060535.5859999999,2204300.3709999998,2312698.5830000001,2457712.3689999999,2579821.0649999999,2808599.8429999999,3058129.1609999998,3322274.1779999998,3607660.6340000001,3650757.4920000001,3511741.0920000002,3548964.3990000002,3589249.8829999999,3542389.7069999999,3486617.9190000002,3867932.9589999998,4330018.6189999999,4858623.9239999996,5397476.7939999998,5859773.1770000001,6239292.8660000004,6569000.2070000004
Mizoram,,1284897.898,1295907.041,1366471.666,1480870.2009999999,1633205.452,1816550.5349999999,2019841.638,2168200.108,2374228.3939999999,2666519.2170000002,2937040.2059999998,3282373.128,3631933.2579999999,4174990.6869999999,4811922.2290000003,5546577.7529999996,6405170.1579999998,7667221.5719999997,8698180.0170000009,10388205.449999999,12416975.880000001,14449225.890000001,16753607.029999999,14982739.130000001,13571794.77,12356764.99,11168461.9,12124776.890000001,12909860.17,13591906.470000001
Daman and Diu,,955795.52679999999,962357.07709999999,1019536.7610000001,1047365.925,1098758.1769999999,1164808.4469999999,1235297.9809999999,1260017.8430000001,1315366.7549999999,1413540.328,1407385.6159999999,1424033.51,1425234.824,1486022.923,1552505.848,1620790.52,1693941.706,1743501.719,1700252.1540000001,1747870.4990000001,1798506.8130000001,1803120.0970000001,1802635.9620000001,1785285.2009999999,1790223.4040000001,1804583.429,1806388.9369999999,1960426.2250000001,2086865.9639999999,2196703.0550000002
Lakshadweep,,508671.63650000002,511982.92170000001,542926.54469999997,558124.63280000002,586220.34129999997,622377.67070000002,661021.48210000002,674583.72180000006,704972.81969999999,758970.16680000001,755571.29599999997,764733.23869999999,765395.45959999994,798875.81030000001,835541.79390000005,873242.05200000003,913685.31889999995,941072.61800000002,917139.73620000004,943469.68429999996,971505.20959999994,974071.06700000004,973839.30290000001,964211.26430000004,966952.93539999996,974903.03830000001,975917.94640000002,1061041.2560000001,1130953.878,1191714.53
Chandigarth,Chandigarth,250040.3308,251864.24960000001,266517.82679999998,273562.36930000002,286556.6888,303233.82620000001,321001.56069999997,327228.18849999999,341148.473,365794.59779999999,364255.74609999999,368434.75189999997,368736.20640000002,383962.26870000002,400598.80499999999,417656.46130000002,435906.97470000002,448272.25410000002,437503.81929999997,449373.13260000001,461977.4362,463118.79369999998,462985.1164,2658624.0060000001,5735535.6069999998,10007888.039999999,15710193.869999999,17108828.739999998,18258398.600000001,19257765.109999999
