region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Goa,Goa,1998,6207121.829,34950,10.461674033784949,15.641207872881598
Manipur,,1998,4912239.074,14018,9.548098210428542,15.407240419041639
Meghalaya,,1998,3735376.724,18208,9.809616886135045,15.133359234648783
Nagaland,,1998,3568552.473,6810,8.826148867571261,15.087670601782836
Sikkim,Sikkim,1998,2060535.586,2892,7.9697070410873385,14.538476500177271
Mizoram,,1998,2374228.394,6174,8.72810382475629,14.680183055926907
Lakshadweep,,1998,704972.8197,270,5.598458995349557,13.465914527434176
Uttar Pradesh,,1999,342070995.3,872379,13.678979252955973,19.650528862079838
Maharashtra,Maharashtra,1999,370415687.5,1997927,14.507620705991812,19.73013641270121
Telangana,,1999,237154050.1,713897,13.47849398722012,19.28422048836257
Bihar,Bihar,1999,163829376.4,124548,11.732446543043615,18.914336056404533
Madhya Pradesh,,1999,185172576.2,1076686,13.889398372313616,19.036798792538054
West Bengal,,1999,188955109.9,492272,13.106786708554084,19.057020031056442
Gujarat,,1999,183530900.0,1266529,14.051790653807016,19.027893603653066
Andhra Pradesh,,1999,192943877.6,866688,13.67243434094344,19.07790991494435
Tamil Nadu,,1999,182288100.3,1210285,14.006366435290994,19.021098962148095
Karnataka,,1999,159211434.9,1024077,13.839302286831956,18.88574365605641
Jharkhand,,1999,118044428.2,139869,11.8484616207473,18.586571621737264
Rajasthan,,1999,145222001.4,1181748,13.982505264710761,18.793774173669636
Chhattisgarh,,1999,97855122.07,156840,11.96298152016551,18.3989985965784
Kerala,Kerala,1999,80145885.76,297903,12.604523242712094,18.19935910394935
Punjab,Punjab,1999,128855707.0,869446,13.675611517691628,18.67420378589398
Uttarakhand,,1999,84533737.33,111721,11.623760060476538,18.252661270988195
NCT of Delhi,Delhi,1999,150133581.4,103981,11.551963565296957,18.827035998429338
Haryana,,1999,82625669.68,601228,13.306729525928695,18.229830961156228
Odisha,,1999,60764608.24,235935,12.371311664727408,17.92251807613386
Assam,,1999,42814831.85,203013,12.221025344640283,17.572395139072814
Puducherry,,1999,16340422.26,15230,9.631023102487811,16.609152489167492
Himachal Pradesh,,1999,23710476.84,104091,11.553020891603952,16.981427569184785
Jammu and Kashmir,,1999,32969299.92,124783,11.734331587829356,17.311087380973518
Tripura,,1999,7860098.518,36715,10.510940942253916,15.877309698423531
Goa,Goa,1999,7021433.146,34726,10.45524425287271,15.764477907017692
Manipur,,1999,5425079.369,19948,9.900884667969276,15.506543087514192
Meghalaya,,1999,3934051.542,27350,10.216472173480772,15.185180379522997
Nagaland,,1999,3746482.996,8746,9.076352875352043,15.136328090140143
Sikkim,Sikkim,1999,2204300.371,3992,8.292050142438237,14.605920724451815
Mizoram,,1999,2666519.217,8388,9.034558584200402,14.796284515822252
Lakshadweep,,1999,758970.1668,238,5.472312689595516,13.539717749676415
Uttar Pradesh,,2000,357585300.8,1014071,13.829483490267107,19.69488449527338
Maharashtra,Maharashtra,2000,379582085.5,2206032,14.60670598911642,19.754581430488418
Telangana,,2000,236153880.9,770113,13.554292549294523,19.27999418821752
Bihar,Bihar,2000,171040248.2,163528,12.004739569631418,18.9574094563625
Madhya Pradesh,,2000,189067991.6,1118858,13.927819089162407,19.05761725224693
West Bengal,,2000,192662669.5,537519,13.194719405800402,19.07645139121354
Gujarat,,2000,191803760.2,1376294,14.134904944709369,19.071983325018106
Andhra Pradesh,,2000,199700005.5,859758,13.664406244912932,19.112326825927354
Tamil Nadu,,2000,184645261.5,1272704,14.056654336756978,19.033947036870206
Karnataka,,2000,166975371.6,1123823,13.93224683262414,18.933356884056355
Jharkhand,,2000,117602203.9,158656,11.974493678424308,18.582818333899457
Rajasthan,,2000,150496703.7,1244063,14.033893202123938,18.829451739587764
Chhattisgarh,,2000,97481725.68,228804,12.340621064557974,18.395175489478003
Kerala,Kerala,2000,89788091.89,331606,12.711702826325116,18.31296291746375
Punjab,Punjab,2000,134594197.5,891059,13.700165933216134,18.717774865033192
Uttarakhand,,2000,84191138.15,117526,11.674414949771592,18.248600226048932
NCT of Delhi,Delhi,2000,145087308.3,106520,11.576088133806948,18.792846245386496
Haryana,,2000,85306963.19,651400,13.38687918717582,18.261766640900436
Odisha,,2000,63014325.94,342286,12.74340195310169,17.9588726543783
Assam,,2000,45305539.8,210810,12.258712580290432,17.62893987436701
Puducherry,,2000,16268474.39,16121,9.68787866918472,16.604739706513513
Himachal Pradesh,,2000,24879750.72,124894,11.735220736596936,17.029564806492456
Jammu and Kashmir,,2000,34452460.01,136443,11.823662297268427,17.355090961002222
Tripura,,2000,8093783.607,33587,10.42189466405663,15.90660686907168
Goa,Goa,2000,7530377.655,40442,10.607624375163336,15.834455751904892
Manipur,,2000,5554637.68,16697,9.722984940458762,15.53014375480627
Meghalaya,,2000,4418434.638,20943,9.949560218124908,15.301296037027795
Nagaland,,2000,3893363.153,8520,9.050172793531592,15.174783905827875
Sikkim,Sikkim,2000,2312698.583,3792,8.240651500502237,14.65392561841151
Mizoram,,2000,2937040.206,6512,8.781403443307733,14.892912899566117
Lakshadweep,,2000,755571.2959999999,267,5.587286110882417,13.535229425534288
Uttar Pradesh,,2001,378698950.6,1162450,13.966040413368493,19.752252121809295
Maharashtra,Maharashtra,2001,394725112.3,2217526,14.61190272252211,19.793700162374055
Telangana,,2001,238866186.7,800835,13.593410224808729,19.291414064815292
Bihar,Bihar,2001,180800307.8,158989,11.976590359316651,19.012903708354532
Madhya Pradesh,,2001,195606710.9,904283,13.714897654539248,19.091616624281144
West Bengal,,2001,199173593.5,523995,13.169237440357072,19.10968733157655
Gujarat,,2001,203388884.5,1376848,14.135307393986198,19.130630391609543
Andhra Pradesh,,2001,209624794.6,894016,13.703478962272705,19.160829798262206
Tamil Nadu,,2001,189728368.5,1388465,14.143709385555509,19.06110396774152
Karnataka,,2001,177537040.8,1120414,13.929208826752603,18.994689825672364
Jharkhand,,2001,118813383.6,150049,11.918717253046015,18.5930646151132
Rajasthan,,2001,158061553.5,1341658,14.109416727971963,18.878495094238925
Chhattisgarh,,2001,98502782.23,186704,12.137279807606605,18.405595351733254
Kerala,Kerala,2001,102016140.8,338919,12.73351644926482,18.440641601866677
Punjab,Punjab,2001,142705856.4,990936,13.806405240087058,18.77629612154889
Uttarakhand,,2001,85123212.40999998,126119,11.744981263961204,18.259610322624617
NCT of Delhi,Delhi,2001,142577111.1,109671,11.60524034515837,18.775393541840966
Haryana,,2001,89394382.29999998,711646,13.475335889794373,18.308568400361757
Odisha,,2001,66204965.37,261090,12.472620492752636,18.008266023683582
Assam,,2001,48549623.84,200124,12.206692503378596,17.69809700478282
Puducherry,,2001,16462944.65,18079,9.8025068758098,16.616622634539834
Himachal Pradesh,,2001,26499761.14,128988,11.767474733287653,17.092646277330925
Jammu and Kashmir,,2001,36524926.88,145430,11.887450218933358,17.41350551368254
Tripura,,2001,8450402.166999998,34731,10.455388226801007,15.949724591928621
Goa,Goa,2001,8199067.313,43633,10.683569252965603,15.91953096344826
Manipur,,2001,5767876.664,15470,9.646658589979314,15.567814574916643
Meghalaya,,2001,5018752.608,18638,9.832958322883712,15.42869197632838
Nagaland,,2001,4102521.046,8525,9.050759475171558,15.227112231975882
Sikkim,Sikkim,2001,2457712.369,4191,8.340697033987603,14.714741543953373
Mizoram,,2001,3282373.128,7273,8.891925515102036,15.004077233383939
Lakshadweep,,2001,764733.2387,299,5.700477017647474,13.547282344414347
Uttar Pradesh,,2002,397079665.4,1029732,13.84480914188595,19.799647487034086
Maharashtra,Maharashtra,2002,406304440.9,2214025,14.610322688483214,19.82261329099913
Telangana,,2002,239061979.6,833175,13.632998995120314,19.29223340514616
Bihar,Bihar,2002,189247023.6,184207,12.123815458539585,19.058563722813375
Madhya Pradesh,,2002,200334201.8,923145,13.735541608403874,19.11549753893013
West Bengal,,2002,203937827.5,583398,13.276624925371202,19.13332573820068
Gujarat,,2002,213441769.8,1407809,14.157545160192514,19.17887461244876
Andhra Pradesh,,2002,217954862.4,986687,13.802108155662824,19.199798546103878
Tamil Nadu,,2002,193045824.5,1406871,14.156878654566254,19.078438151328978
Karnataka,,2002,186808888.2,1148467,13.953938576275576,19.04559666399751
Jharkhand,,2002,118901778.2,177683,12.087756398992132,18.593808316973906
Rajasthan,,2002,164284720.6,1289642,14.069875226196471,18.917111581726225
Chhattisgarh,,2002,98577191.64,290815,12.580442639540516,18.406350470704247
Kerala,Kerala,2002,114763982.3,364991,12.807628002124316,18.558388249590738
Punjab,Punjab,2002,149640117.1,972868,13.788003699345733,18.823743749988687
Uttarakhand,,2002,85190736.75,126390,11.747127722761352,18.260403262297157
NCT of Delhi,Delhi,2002,138527869.6,109457,11.603287148410333,18.746582087897462
Haryana,,2002,92716534.07,709672,13.472558184535668,18.345057375688814
Odisha,,2002,68908034.75,305261,12.628922460118558,18.048283343843853
Assam,,2002,51510963.1,205982,12.235544113861135,17.757305218707295
Puducherry,,2002,16476937.61,19202,9.86277024003652,16.617472240542142
Himachal Pradesh,,2002,27939301.08,139349,11.84473692847151,17.145544896447994
Jammu and Kashmir,,2002,38326433.54,144281,11.879518135270212,17.461650386849747
Tripura,,2002,8739264.0,37327,10.527472472263558,15.983336533559497
Goa,Goa,2002,8830390.84,46525,10.747745296448635,15.993709834341233
Manipur,,2002,5932487.889,17414,9.765030333638999,15.595954225823473
Meghalaya,,2002,5636168.41,20846,9.94491784200749,15.544715032675638
Nagaland,,2002,4281923.312,10808,9.28804280488017,15.269912838583254
Sikkim,Sikkim,2002,2579821.065,4905,8.49801241073337,14.763230599841492
Mizoram,,2002,3631933.258,7409,8.910452106125557,15.105275642433158
Lakshadweep,,2002,765395.4595999998,260,5.560720091814363,13.548147919894477
Uttar Pradesh,,2003,430948419.3,880134,13.687829458951253,19.88149896410804
